MGI_ID,MGI_Symbol
MGI:96533,Ihh
MGI:96534,Cd74
MGI:96537,Il10
MGI:96539,Il12a
MGI:96540,Il12b
MGI:96541,Il13
MGI:96542,Il1a
MGI:96543,Il1b
MGI:96545,Il1r1
MGI:96546,Il1r2
MGI:96547,Il1rn
MGI:96548,Il2
MGI:96549,Il2ra
MGI:96550,Il2rb
MGI:96551,Il2rg
MGI:96552,Il3
MGI:96553,Il3ra
MGI:96556,Il4
MGI:96557,Il5
MGI:96558,Il5ra
MGI:96559,Il6
MGI:96560,Il6st
MGI:96561,Il7
MGI:96562,Il7r
MGI:96563,Il9
MGI:96564,Il9r
MGI:96565,Fabp6
MGI:96567,Impdh1
MGI:96568,Ina
MGI:96569,Inha
MGI:96570,Inhba
MGI:96571,Inhbb
MGI:96572,Ins1
MGI:96573,Ins2
MGI:96575,Insr
MGI:96581,Ipp
MGI:96590,Irf1
MGI:96591,Irf2
MGI:96599,Itga1
MGI:96600,Itga2
MGI:96601,Itga2b
MGI:96602,Itga3
MGI:96603,Itga4
MGI:96604,Itga5
MGI:96605,Itga6
MGI:96606,Itgal
MGI:96607,Itgam
MGI:96608,Itgav
MGI:96609,Itgax
MGI:96610,Itgb1
MGI:96611,Itgb2
MGI:96612,Itgb3
MGI:96613,Itgb4
MGI:96614,Itgb5
MGI:96615,Itgb6
MGI:96616,Itgb7
MGI:96617,Cd47
MGI:96618,Itih1
MGI:96619,Itih2
MGI:96620,Itih3
MGI:96621,Itk
MGI:96622,Itpa
MGI:96623,Itpr1
MGI:96624,Itpr3
MGI:96626,Ivl
MGI:96628,Jak1
MGI:96629,Jak2
MGI:96646,Jun
MGI:96647,Junb
MGI:96648,Jund
MGI:96650,Jup
MGI:96653,Kap
MGI:96654,Kcna1
MGI:96659,Kcna2
MGI:96660,Kcna3
MGI:96661,Kcna4
MGI:96662,Kcna5
MGI:96663,Kcna6
MGI:96664,Kcna7
MGI:96666,Kcnb1
MGI:96667,Kcnc1
MGI:96668,Kcnc2
MGI:96669,Kcnc3
MGI:96670,Kcnc4
MGI:96671,Kcnd1
MGI:96673,Kcne1
MGI:96676,Kin
MGI:96677,Kit
MGI:96680,Kras
MGI:96683,Kdr
MGI:96685,Krt10
MGI:96687,Krt12
MGI:96688,Krt14
MGI:96689,Krt15
MGI:96690,Krt16
MGI:96691,Krt17
MGI:96692,Krt18
MGI:96693,Krt19
MGI:96696,Krt9
MGI:96698,Krt1
MGI:96701,Krt4
MGI:96702,Krt5
MGI:96704,Krt7
MGI:96705,Krt8
MGI:96709,Ky
MGI:96721,L1cam
MGI:96738,Hikeshi
MGI:96739,Stmn1
MGI:96742,Lalba
MGI:96743,Lamb1
MGI:96745,Lamp1
MGI:96748,Lamp2
MGI:96755,Lcat
MGI:96756,Lck
MGI:96757,Lcn2
MGI:96759,Ldha
MGI:96763,Ldhb
MGI:96764,Ldhc
MGI:96765,Ldlr
MGI:96770,Lef1
MGI:96777,Lgals1
MGI:96778,Lgals3
MGI:96782,Lhb
MGI:96783,Lhcgr
MGI:96785,Lhx2
MGI:96787,Lif
MGI:96788,Lifr
MGI:96789,Lipa
MGI:96790,Lipe
MGI:96794,Lmna
MGI:96795,Lmnb1
MGI:96796,Lmnb2
MGI:96799,Mycl
MGI:96816,Lor
MGI:96817,Lox
MGI:96819,Anxa1
MGI:96820,Lpl
MGI:96828,Lrp1
MGI:96829,Lrpap1
MGI:96832,Lsp1
MGI:96836,Lta4h
MGI:96837,Ltf
MGI:96840,Ltk
MGI:96853,Alad
MGI:96877,Klrb1
MGI:96878,Blnk
